Name,Age,Nationality,Position,Finishing,ShortPassing,LongPassing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,quality_level
G. Tello,25,Chile,LM,68,67,56,80,90,80,81,65,42,70,60,C
M. Troiano,33,Italy,CM,45,71,68,61,58,57,35,70,72,85,85,C
I. Conté,22,Guinea,LCB,39,56,52,68,60,58,57,61,72,64,87,C
M. Bruscagin,28,Italy,CB,21,62,53,55,59,73,54,27,74,63,73,C
C. Morris,22,England,ST,65,55,45,72,75,66,60,65,77,63,81,C
M. Barbieri,27,Argentina,LW,64,67,65,76,76,93,89,63,73,75,35,C
K. Henry,35,England,RDM,51,64,62,50,52,50,59,70,72,60,79,C
M. Baudry,30,France,CB,28,61,57,65,50,64,45,43,69,70,70,C
K. Mavropanos,20,Greece,CB,30,47,48,52,60,55,39,45,67,64,79,C
M. Campos,24,Chile,ST,71,48,29,72,70,62,65,69,70,66,68,C
C. Chiricò,26,Italy,RW,61,60,50,77,77,82,91,66,55,71,59,C
T. van de Pavert,26,Netherlands,CB,40,54,59,52,52,55,43,60,54,68,87,C
S. Gannon,26,Republic of Ireland,RB,53,63,56,74,76,69,67,56,68,76,75,C
A. Esaka,26,Japan,LM,70,65,55,71,69,65,70,69,80,70,72,C
A. Nkaka,22,Belgium,LDM,28,65,62,74,68,70,78,77,73,71,67,C
A. Barrios,27,Chile,RB,51,67,59,73,75,70,65,66,74,82,73,C
M. Njie,22,Norway,LM,60,62,48,86,88,81,74,63,60,73,63,C
L. Fariña,27,Argentina,CAM,60,66,62,68,66,74,72,68,66,41,61,C
A. Mbekile,31,South Africa,RB,29,64,66,68,66,55,71,59,61,72,60,C
P. Lipski,24,Poland,LCM,55,69,66,71,64,72,72,66,61,67,65,C
K. Salazar,22,Colombia,CAM,49,70,65,73,71,73,86,54,67,74,36,C
B. Galloway,22,England,LB,30,69,55,71,77,72,63,51,64,65,67,C
M. Sema,29,Sweden,RW,60,62,51,81,78,87,81,60,80,72,42,C
G. Moncini,22,Italy,ST,69,63,46,72,69,69,64,60,72,63,65,C
S. Nieuwpoort,25,Netherlands,RCB,25,64,66,70,71,62,62,28,66,59,67,C
T. Mrčela,27,Australia,CB,28,55,47,39,49,38,37,42,31,81,91,C
Sunny,29,Nigeria,LCM,43,71,65,63,66,72,60,70,66,73,74,C
T. Eaves,26,England,RS,67,52,41,50,60,58,34,75,66,72,90,C
E. Herrera,29,Mexico,ST,66,68,51,39,54,47,33,75,69,72,85,C
P. Rojas,26,Colombia,RM,64,66,57,91,93,83,85,64,72,77,46,C
S. Ağçay,36,Turkey,CDM,62,66,60,52,54,53,52,69,70,49,74,C
Hwang Jin Sung,34,Korea Republic,CAM,70,73,67,72,73,71,76,70,74,53,68,C
M. Ríos,34,Chile,RM,57,65,62,72,71,54,62,69,61,77,47,C
F. Bonazzoli,21,Italy,RS,66,57,43,71,75,68,49,64,64,59,69,C
D. Rigo,19,Belgium,CM,54,75,70,65,62,67,62,65,44,51,45,C
E. Segura,21,Colombia,LCB,31,52,51,63,67,61,60,36,73,68,76,C
B. Aloé,24,France,RCB,27,47,45,41,58,37,62,42,64,66,73,C
Z. Diallo,31,France,CB,35,56,47,46,39,39,30,53,39,64,93,C
M. Kightly,32,England,LM,63,64,63,76,76,71,69,65,65,73,65,C
D. Zeefuik,20,Netherlands,RB,35,64,57,78,79,72,76,55,90,70,75,C
A. Robic,32,France,RM,61,64,57,70,65,72,59,61,50,81,64,C
J. Pierazzi,33,France,CDM,32,62,61,59,63,63,61,59,61,74,74,C
L. Schwechlen,29,France,LB,16,57,44,60,52,56,60,18,71,71,74,C
F. Cornejo,22,Chile,CM,41,71,63,64,72,71,78,62,74,73,71,C
N. Dussenne,26,Belgium,RCB,28,57,49,37,32,58,43,50,41,62,79,C
José Carlos,22,Spain,CB,21,64,63,46,44,40,66,43,72,66,67,C
Y. Kurtuluş,32,Turkey,RCM,69,69,67,58,63,63,71,74,68,65,62,C
M. Núñez,31,Argentina,RM,58,66,63,87,86,82,79,67,69,71,38,C
N. Zimling,33,Denmark,LCM,52,69,67,43,37,64,76,69,68,65,67,C
G. Lloris,22,France,CB,29,64,54,53,52,50,51,49,67,60,76,C
J. Torres,30,United States,CDM,58,70,69,68,66,78,76,75,71,77,56,C
V. Basha,27,Albania,LDM,53,73,70,65,62,60,76,75,71,73,67,C
V. Vermeij,23,Netherlands,ST,67,58,44,55,65,62,53,69,83,74,83,C
N. Julan,21,France,ST,72,62,48,66,67,55,59,65,66,59,76,C
Lorenzao Masca,34,Brazil,ST,70,64,59,72,71,62,79,64,56,66,52,C
C. Arcus,22,Haiti,RB,37,64,56,70,72,58,76,46,70,65,70,C
M. Sáček,21,Czech Republic,CM,44,70,68,69,70,73,73,62,74,73,59,C
N. Valentini,29,Argentina,CB,25,58,48,53,44,48,60,52,60,63,83,C
Gonzalo Verdú,29,Spain,RCB,45,61,55,57,63,62,58,58,72,70,79,C
S. Tonali,18,Italy,CDM,44,72,72,69,68,61,73,67,61,70,71,C
M. Ballmert,24,Germany,RB,40,63,59,75,67,82,83,41,91,86,59,C
A. Acevedo,35,Chile,RCB,26,52,45,40,55,51,65,38,76,68,72,C
A. Ibrahim,27,Norway,CM,52,67,65,68,63,70,65,68,74,71,74,C
D. Capelli,32,Italy,CB,20,57,57,33,36,34,55,65,83,57,89,C
H. Abe,28,Japan,LAM,71,66,64,77,77,78,77,60,36,69,59,C
J. Watts,26,United States,CB,49,68,67,55,52,57,61,62,49,63,69,C
J. Taylor,25,England,LM,61,62,58,87,88,86,80,61,75,78,54,C
J. Piotrowski,20,Poland,CM,60,67,63,68,67,66,57,72,65,74,78,C
N. Mazzola,28,Argentina,ST,70,48,39,61,56,64,45,72,70,69,89,C
C. Maguire,29,Scotland,CAM,64,62,65,70,74,70,71,65,77,73,67,C
J. Valencia,23,Ecuador,RM,59,62,52,86,84,88,92,55,75,76,55,C
M. Al Kuwaykibi,23,Saudi Arabia,RM,63,57,51,92,87,93,93,67,79,65,44,C
Nuno Campos,25,Portugal,LB,27,65,58,79,77,76,76,66,81,77,57,C
S. Muroya,24,Japan,RB,57,64,63,79,78,70,75,66,60,80,62,C
Q. Antipas,34,Zimbabwe,ST,65,62,53,85,83,82,84,70,92,65,68,C
T. Watt,24,Scotland,RS,66,55,43,79,78,68,75,71,70,63,78,C
Lim Chan Wool,23,Korea Republic,RW,65,67,63,72,73,75,75,64,61,71,65,C
D. Valoyes,21,Colombia,RW,68,60,53,78,82,74,59,72,56,75,65,C
V. Dávila,20,Chile,ST,69,75,65,71,72,78,74,68,52,63,56,C
E. Kujović,30,Sweden,ST,69,60,54,39,36,34,32,74,42,50,90,C
E. Martinez,27,Uruguay,CM,54,66,63,66,71,74,86,65,56,74,56,C
M. Nizam,27,Turkey,LB,31,62,57,67,67,65,62,71,68,64,68,C
N. Gauna,26,Argentina,LM,65,66,52,71,67,66,74,58,35,65,54,C
C. Lines,32,England,CM,59,70,65,53,54,60,60,63,53,66,62,C
M. Pennington,23,England,LCB,30,64,53,64,64,46,57,44,74,58,73,C
R. Feltscher,27,Venezuela,RB,32,65,59,54,60,60,59,70,71,76,78,C
Olmo,33,Spain,LCB,50,59,59,62,66,69,67,62,85,64,75,C
J. Yueill,21,United States,LCM,53,73,69,61,66,67,65,67,50,77,59,C
H. Çinemre,24,Turkey,CB,24,61,52,69,69,65,60,46,74,65,74,C
C. Rodríguez,23,Chile,RB,32,66,64,73,74,70,68,45,65,71,72,C
G. Gudiño,25,Argentina,RM,69,63,60,76,77,75,70,68,69,77,47,C
A. Czerwiński,25,Poland,RB,45,59,44,83,76,66,62,36,63,71,76,C
R. van der Meer,23,Netherlands,LB,34,62,62,62,69,48,45,53,61,80,83,C
F. Boli,24,Ivory Coast,RS,68,55,43,81,79,70,81,69,75,69,79,C
A. Gouiri,18,France,ST,69,59,47,69,73,71,67,68,60,59,65,C
Adão Salvadaldo,34,Brazil,ST,72,55,41,78,75,87,84,66,66,55,49,C
R. Benson,26,Republic of Ireland,LCM,62,68,65,75,77,87,71,66,54,79,74,C
X. Emmers,18,Belgium,CM,34,70,70,69,67,52,73,63,58,58,42,C
B. Smith,24,Australia,LB,42,63,60,77,81,72,75,40,63,72,60,C
O. Noorafkan,21,Iran,CDM,36,68,72,61,65,68,63,72,58,68,65,C
Kang Sang Woo,24,Korea Republic,LB,61,66,49,78,81,80,74,79,43,65,60,C
T. Wada,27,Japan,RB,31,70,66,62,65,70,85,51,74,72,54,C
M. Yaghoubi,23,Finland,LM,46,70,63,64,67,50,75,57,65,67,69,C
E. Capradossi,22,Italy,CB,17,38,30,67,63,67,65,30,70,71,64,C
J. Levi,22,Sweden,RW,67,58,52,76,78,68,58,66,53,61,59,C
E. Boateng,24,Ghana,LM,59,65,50,91,90,90,92,68,61,65,59,C
T. Browning,24,England,CB,25,64,45,68,72,53,55,48,67,59,74,C
K. Vacek,31,Czech Republic,CM,56,70,67,70,67,75,71,69,65,64,67,C
U. Zeybek,23,Turkey,CDM,48,70,66,69,74,75,71,59,74,64,58,C
A. Al Fraidi,30,Saudi Arabia,CAM,63,69,65,59,54,82,65,61,68,66,66,C
C. Ronan,20,Republic of Ireland,CM,52,70,68,73,68,75,80,68,53,75,35,C
R. Guerra,21,Uruguay,CM,61,67,68,60,55,57,62,50,65,61,62,C
E. Manu,24,Netherlands,LW,59,58,44,91,91,79,80,77,67,70,77,C
L. Ćirković,25,Serbia,LCB,30,57,60,67,73,43,39,38,44,63,79,C
D. Lachman,28,Curacao,CB,43,63,66,50,64,43,40,67,71,70,79,C
R. Gall,23,United States,CAM,67,63,53,85,78,86,78,77,75,68,42,C
S. Branca,26,Italy,CM,43,68,63,73,72,69,72,64,63,74,69,C
T. Kida,23,Japan,CDM,32,70,64,72,71,78,87,47,81,90,69,C
A. Kashi,29,Algeria,CM,35,72,65,63,51,73,71,44,82,88,71,C
Catena,23,Spain,RCB,24,52,44,64,63,53,54,47,70,70,70,C
G. Sandoval,34,Chile,LDM,40,67,69,44,49,61,77,44,90,78,58,C
P. Mortensen,28,Denmark,LS,68,64,28,53,52,61,53,68,83,66,83,C
L. Geminiani,27,Argentina,RB,30,59,55,73,77,70,64,38,58,70,63,C
D. Johnsen,20,Norway,LW,64,66,60,85,77,80,70,69,52,61,66,C
Fredinho Mutto,26,Brazil,LB,44,69,76,68,74,64,57,44,44,67,63,C
S. Diop,18,France,CAM,56,65,59,76,72,82,92,58,53,47,29,C
M. Senesi,21,Argentina,RCB,32,67,60,62,58,44,51,48,79,63,75,C
M. Edwards,19,England,RM,62,63,55,76,71,87,92,56,55,54,32,C
L. Balanta,27,Colombia,LB,38,56,36,62,74,58,52,45,72,65,74,C
C. Embalo,23,Guinea Bissau,LW,56,64,60,91,91,92,74,66,58,84,63,C
M. Smith,29,England,ST,67,53,41,43,46,46,32,74,56,64,93,C
L. Castiglia,29,Italy,LCM,46,70,70,58,67,59,54,66,58,73,78,C
S. Pasa,24,Italy,CM,48,70,67,55,55,56,69,61,73,72,77,C
K. Moore,25,England,LS,69,56,54,73,76,48,50,69,46,72,87,C
R. Mulumba,25,DR Congo,CDM,57,66,68,55,65,58,70,66,54,76,69,C
C. Cercado,29,Mexico,CB,34,62,53,54,53,56,65,58,65,64,73,C
I. Ochoa,21,Mexico,CDM,45,72,74,70,63,66,52,62,59,57,75,C
C. Soukou,25,Benin,RS,68,64,60,82,83,69,73,72,66,68,76,C
A. Youga,25,Central African Rep.,LDM,45,65,58,52,54,41,44,48,63,74,91,C
O. Čelůstka,29,Czech Republic,RCB,48,70,63,64,62,62,57,59,79,65,77,C
B. Eleke,22,Nigeria,ST,70,52,49,63,67,63,75,68,75,71,80,C
Delmás,23,Spain,RB,29,66,47,70,67,68,60,34,72,76,71,C
L. Bergsma,21,Netherlands,CB,23,65,66,64,67,63,63,50,78,66,70,C
M. Taylor,28,England,ST,69,64,53,76,77,80,83,69,78,66,61,C
D. Nazarov,28,Azerbaijan,ST,64,69,49,77,78,75,67,70,68,76,68,C
Iván Rodríguez,22,Spain,RB,46,63,55,70,72,69,68,61,62,70,54,C
M. Lais,27,Germany,CDM,58,68,68,82,82,78,74,47,79,80,57,C
A. Zapata,23,Colombia,RW,62,67,62,81,71,78,80,65,67,78,58,C
C. McCann,30,Republic of Ireland,LB,55,70,67,57,55,62,64,68,51,65,77,C
D. Prokop,21,Austria,CAM,57,64,58,83,75,82,91,53,79,70,49,C
G. Stewart,28,Scotland,CF,68,67,60,74,77,78,74,65,69,57,61,C
J. Asoro,19,Sweden,ST,63,60,47,90,87,75,78,65,56,58,58,C
M. Kuhn,26,Germany,RB,44,67,64,80,85,76,77,55,71,81,62,C
A. Garofalo,33,Italy,LM,54,69,64,78,78,78,80,77,83,83,70,C
R. Torres,26,Colombia,CAM,57,64,61,81,81,91,89,70,71,65,34,C
J. Thomsen,36,Denmark,RB,28,65,62,58,65,62,70,67,86,69,71,C
Unai García,25,Spain,RCB,39,69,62,66,74,58,64,57,89,87,77,C
D. Wouters,21,Belgium,CDM,21,68,66,51,54,48,43,56,53,73,79,C
C. Ikonomidis,23,Australia,CAM,66,68,62,76,72,70,64,63,41,60,64,C
Wellington,30,Brazil,ST,69,59,34,58,58,56,34,70,59,56,90,C
L. Escorcia,21,Colombia,RCB,20,52,49,54,62,55,64,39,74,62,71,C
P. Bouby,34,France,LCB,42,61,66,54,54,69,60,69,71,76,73,C
J. Newell,25,England,LM,59,63,65,76,77,67,59,60,50,77,64,C
M. Bravo,31,Argentina,ST,61,67,64,70,75,75,77,71,77,74,68,C
M. Perez,27,France,CDM,48,70,67,65,76,75,74,59,60,71,72,C
S. Nicholson,23,Scotland,LM,62,61,53,90,86,84,83,63,59,67,60,C
A. Novakovich,21,United States,ST,70,46,29,69,76,75,44,67,62,71,74,C
J. Buxton,33,England,CB,33,57,56,39,46,44,45,66,82,59,80,C
N. Zaniolo,18,Italy,CAM,57,67,64,64,62,46,62,59,46,68,61,C
J. Kliment,24,Czech Republic,ST,62,63,51,67,77,67,67,68,77,58,67,C
Carbonell,20,Spain,CM,70,67,67,66,63,72,77,58,56,64,57,C
J. Croux,24,Belgium,RW,62,62,55,83,77,83,81,71,60,66,57,C
F. Brillant,33,France,RCB,24,64,52,34,31,45,36,58,69,72,71,C
J. Andersen,25,Denmark,RCM,59,68,66,71,75,63,67,68,69,86,77,C
L. Gugganig,23,Austria,RDM,48,62,54,56,62,56,48,72,55,72,79,C
J. Nyholm,24,Sweden,CB,42,63,64,76,83,83,71,56,80,67,70,C
N. Saint-Ruf,25,France,CB,22,59,61,66,71,59,60,38,71,70,77,C
S. Chhetri,33,India,LS,71,56,39,76,73,72,76,66,60,68,59,C
B. García,33,Honduras,LDM,61,69,61,71,71,74,75,67,59,68,66,C
E. Bakker,28,Netherlands,RCM,64,68,67,67,64,71,62,60,64,78,65,C
J. Roa,23,Colombia,RDM,42,71,65,61,66,71,71,43,72,80,60,C
M. Parensen,32,Germany,LB,49,66,65,65,68,64,68,55,79,80,72,C
M. Boyle,25,Australia,RM,62,61,49,93,93,71,56,62,73,64,60,C
E. Fryers,25,England,LB,35,63,51,76,74,72,64,45,79,66,70,C
T. Thiele,26,Germany,LS,62,61,40,72,85,63,59,69,53,75,76,C
C. Ayala,32,Colombia,LDM,45,70,68,58,60,67,63,51,71,79,73,C
F. Rherras,25,Morocco,LB,57,57,53,74,84,77,63,78,73,74,69,C
J. Verlaat,22,Netherlands,LCB,21,57,51,47,51,49,39,41,33,45,90,C
L. Ayçiçek,24,Germany,LM,52,63,57,76,67,86,93,62,65,66,45,C
D. Nikolaou,19,Greece,CB,25,58,60,60,63,41,51,53,74,66,74,C
S. Nagasawa,29,Japan,ST,71,62,32,48,52,32,31,66,32,56,89,C
I. Poblete,23,Chile,CAM,65,69,62,71,71,78,78,59,66,74,67,C
A. D'Alberto,23,Belgium,RB,28,61,54,74,78,65,71,48,77,70,67,C
A. Rodriguez,25,Uruguay,RCM,54,73,72,66,66,57,71,70,62,69,76,C
A. Nuhiu,28,Kosovo,ST,70,68,52,35,33,45,44,68,34,74,91,C
G. Mastinu,26,Italy,CAM,57,72,65,67,66,62,75,78,42,62,60,C
U. Sadiq,21,Nigeria,ST,71,60,41,71,76,56,36,62,66,64,77,C
A. Matějů,22,Czech Republic,RB,28,64,52,74,72,70,70,56,73,71,64,C
G. Magnani,22,Italy,CB,33,54,45,55,61,54,52,52,71,63,72,C
J. Meekings,25,England,CB,34,53,44,71,77,61,48,34,82,71,82,C
J. Ginnelly,21,England,LM,54,56,53,92,90,87,79,65,62,78,59,C
A. Masika,25,Kenya,LM,60,62,55,84,88,89,87,63,81,65,32,C
L. Hallenius,29,Sweden,ST,69,63,47,73,73,67,58,73,65,70,77,C
J. Elliott,22,England,CB,21,63,67,54,57,39,35,34,71,72,72,C
D. Vallejos,28,Chile,ST,65,62,53,80,83,85,73,71,83,82,83,C
M. Marras,24,Italy,RW,59,67,50,76,72,79,94,61,40,69,31,C
A. Boyle,27,Republic of Ireland,CB,30,61,57,63,53,59,64,54,58,74,83,C
B. Edomwonyi,23,Nigeria,ST,64,54,39,86,90,73,63,63,81,77,70,C
M. El Allouchi,23,Morocco,LM,62,68,62,70,67,72,83,63,65,69,56,C
M. Jonckheere,28,Belgium,CM,55,71,71,57,62,70,71,65,59,57,57,C
J. Tutuarima,25,Netherlands,LWB,28,68,64,78,76,76,85,58,69,72,45,C
Chus Herrero,34,Spain,CB,35,61,54,51,53,63,59,47,76,66,77,C
D. Agazzi,25,Italy,RCM,34,70,67,69,60,77,82,59,57,78,55,C
T. Mauricio,24,France,RM,70,61,59,77,74,78,91,68,53,50,51,C
S. Scougall,25,Scotland,CM,63,68,66,76,75,72,85,63,68,78,58,C
Kim In Seong,28,Korea Republic,RM,63,71,62,87,92,81,65,66,80,35,56,C
T. Pekhart,29,Czech Republic,ST,68,60,42,51,53,38,39,74,62,62,84,C
Fabio,29,Brazil,LCB,17,45,33,59,61,39,48,33,79,74,83,C
S. Pettinari,26,Italy,ST,66,61,53,74,79,80,71,65,87,77,73,C
L. Ruiz,31,Colombia,ST,69,55,53,57,70,62,53,71,90,57,81,C
V. Janjičić,19,Switzerland,CDM,38,70,65,64,64,71,72,63,61,66,76,C
M. de Jong,31,Canada,LB,47,61,59,63,63,66,74,79,76,66,66,C
M. Little,29,England,RB,33,61,60,79,85,75,58,36,71,79,72,C
P. Ochs,21,Germany,LM,59,68,59,75,68,76,84,75,68,66,58,C
C. Doucouré,18,Mali,LDM,35,71,63,69,72,74,65,59,61,68,61,C
Hwang Hyun Soo,22,Korea Republic,CB,34,48,30,53,61,42,65,59,75,57,81,C
S. Scappini,30,Italy,RS,71,64,42,55,54,58,60,65,71,55,61,C
E. Friberg,32,Sweden,LCM,59,70,69,34,52,62,62,57,76,79,63,C
F. Olinga,22,Cameroon,LM,48,61,58,79,76,84,80,68,76,53,46,C
Héctor Verdés,34,Spain,CB,20,56,50,34,30,32,51,75,78,54,85,C
K. LuaLua,27,DR Congo,LM,60,62,54,90,85,88,71,74,57,57,67,C
H. Hauger,32,Norway,RCM,35,66,63,53,51,67,70,65,75,67,72,C
V. Parigini,22,Italy,LW,69,65,43,76,73,77,70,65,77,61,54,C
Ha Chang Rae,23,Korea Republic,RCB,23,59,50,57,56,47,56,37,67,68,73,C
A. Munksgaard,20,Denmark,RWB,42,62,60,72,76,72,61,48,66,72,73,C
I. Kecojević,30,Montenegro,CB,25,59,38,60,42,39,31,42,80,65,84,C
S. Ishizaki,36,Sweden,RM,59,69,71,64,57,73,72,66,60,61,69,C
P. Pawlett,27,Scotland,RM,56,64,53,83,89,88,75,62,81,75,69,C
S. Fürstner,30,Germany,CDM,38,65,62,57,53,72,75,60,72,90,70,C
S. Lewerenz,27,Germany,LM,70,63,53,78,72,83,79,54,66,58,56,C
E. Eze,21,Nigeria,ST,66,52,47,74,76,66,55,72,70,56,73,C
A. Barillà,30,Italy,RCM,58,69,62,78,89,83,85,76,67,87,76,C
Fábio Cardoso,24,Portugal,RCB,22,58,49,62,68,64,57,60,73,72,76,C
M. Bukata,24,Slovakia,CM,34,67,65,73,67,83,80,61,59,84,51,C
D. Steres,27,United States,RCB,24,67,66,47,58,60,59,35,77,64,74,C
R. Kristiansen,30,Norway,LB,43,60,56,82,83,82,71,47,66,76,62,C
Zé Manuel,27,Portugal,LW,65,63,60,75,80,70,70,75,68,61,57,C
J. Lundstram,24,England,CM,58,70,73,66,65,68,57,66,58,78,68,C
K. Staude,21,Germany,LM,56,67,49,78,72,81,76,66,61,60,46,C
Helito Caldeira,34,Brazil,RB,47,69,58,62,66,60,49,72,54,58,77,C
Yu Hai,31,China PR,LB,52,67,60,74,73,69,59,56,55,78,63,C
Isma Cerro,22,Spain,RM,64,60,56,75,72,74,71,58,58,52,51,C
A. Hainault,32,Canada,LCB,39,53,45,43,45,56,59,59,85,55,78,C
D. Keita-Ruel,28,Germany,ST,70,51,38,75,77,70,62,67,85,84,84,C
Mauriçio Clerez,26,Brazil,CB,40,65,54,64,56,59,55,59,62,58,76,C
Enzio Julião,34,Brazil,ST,70,63,51,71,76,72,68,58,59,72,67,C
J. Moreno,21,Colombia,CB,26,53,34,55,53,43,49,34,50,62,84,C
C. Forrester,25,Republic of Ireland,CDM,61,68,65,75,76,77,70,59,69,85,61,C
Y. Leiva,20,Chile,RM,65,68,64,74,69,75,83,68,64,73,57,C
B. Baráth,26,Hungary,RB,38,62,54,68,77,65,62,39,68,69,77,C
E. Correa,25,Colombia,ST,63,53,40,76,69,69,51,68,84,59,82,C
Alex Pozo,19,Spain,LM,65,67,63,75,72,82,82,62,64,62,43,C
M. Al Fatil,26,Saudi Arabia,RCB,18,58,50,57,50,58,58,43,74,70,80,C
P. Ofosu-Ayeh,26,Ghana,RB,44,64,53,87,88,71,71,58,78,74,78,C
A. Mozo,21,Mexico,RB,33,64,61,79,80,80,73,29,55,75,56,C
A. Baclet,32,France,ST,61,61,45,75,81,71,71,63,92,69,86,C
M. Busellato,25,Italy,CM,47,68,65,77,70,84,69,54,49,89,70,C
L. Belingheri,35,Italy,CM,52,71,67,68,69,77,66,63,58,70,68,C
F. Saavedra,32,Chile,CM,42,71,70,59,61,59,66,56,69,71,77,C
J. Drolè,20,Ivory Coast,RM,60,54,47,91,92,89,68,65,60,79,57,C
Paik Seung Ho,21,Korea Republic,CM,61,71,62,67,68,63,54,66,60,61,58,C
S. Taylor,32,England,RCB,32,64,55,41,40,31,55,43,63,61,76,C
L. Martin,31,England,LM,59,66,64,71,75,76,66,70,77,76,66,C
Sim Sang Min,25,Korea Republic,LB,50,64,57,72,70,71,71,43,68,72,69,C
Rúben Vinagre,19,Portugal,LWB,48,67,57,87,89,79,78,62,53,74,49,C
Nando,24,Spain,RW,65,66,63,75,78,75,74,64,61,61,49,C
R. Buess,25,Switzerland,ST,62,64,61,80,83,73,68,73,75,72,74,C
V. Lekhal,24,France,RDM,30,71,69,76,72,74,57,47,84,68,74,C
J. Fuentes,34,Chile,CM,50,71,68,66,61,71,82,71,75,75,59,C
K. Opseth,28,Norway,ST,67,59,42,67,66,56,55,75,72,59,83,C
M. Endres,27,Germany,RCB,22,64,54,46,55,43,52,41,65,60,80,C
B. Sweat,26,United States,LB,39,64,65,69,71,64,65,55,77,69,68,C
Yago,22,Brazil,CDM,39,69,66,67,68,64,73,65,63,73,77,C
G. Di Chiara,24,Italy,LB,23,65,60,71,73,62,60,54,70,77,72,C
D. Giraldo,26,Colombia,RB,43,70,68,67,65,63,65,49,70,75,70,C
Pipa,20,Spain,RB,39,65,45,63,69,61,76,52,60,69,64,C
L. Maciel,22,Argentina,CDM,38,71,63,74,65,68,77,58,73,66,61,C
J. Skjelvik,26,Norway,CB,51,64,61,90,92,73,65,65,71,79,73,C
S. Alakouch,19,France,RB,23,67,62,73,72,78,76,35,52,70,54,C
S. Benyamina,28,Germany,ST,62,54,33,70,77,64,66,66,79,66,79,C
C. Arias,30,Colombia,ST,65,58,54,69,73,67,71,66,75,64,62,C
José Lara,18,Spain,RM,62,66,65,72,74,66,82,62,46,51,42,C
G. Trauner,26,Austria,CB,51,65,60,55,70,60,71,68,75,84,84,C
D. Badji,25,Senegal,ST,68,59,24,76,83,68,63,66,84,76,76,C
V. Rennella,29,France,ST,66,63,48,56,65,64,54,73,67,59,80,C
Kike Barja,21,Spain,RM,66,64,63,80,75,75,68,58,70,68,61,C
J. Laporte,24,France,RCB,19,51,49,60,59,46,54,35,78,75,80,C
O. Kiteishvili,22,Georgia,LF,66,66,68,75,73,64,77,71,77,75,46,C
L. Bacuna,26,Curacao,LCM,60,67,67,76,79,77,64,79,71,79,77,C
A. Acosta,30,Mexico,LB,51,66,67,66,47,71,79,60,71,66,64,C
S. Wannenwetsch,26,Germany,RB,42,64,62,69,68,71,75,67,85,81,67,C
C. Conway,33,Scotland,LM,62,67,64,59,64,69,78,61,52,51,65,C
I. Niane,19,Senegal,ST,67,55,43,86,78,75,45,74,68,58,63,C
C. Tanner,23,England,RM,60,62,56,79,77,85,90,60,61,67,56,C
S. Singh,19,New Zealand,CAM,58,68,68,74,70,76,82,57,65,54,39,C
N. Pedersen,30,Denmark,ST,67,70,51,41,37,56,49,68,48,54,75,C
Deng Hanwen,23,China PR,RB,42,56,52,80,72,70,68,62,55,76,59,C
G. Iñíguez,24,Argentina,CM,44,72,68,68,68,76,78,68,72,73,67,C
C. Martinez,25,Paraguay,LW,65,64,55,82,80,83,75,71,75,73,67,C
C. Morgan,33,Wales,RCB,24,58,60,29,33,27,31,46,79,59,77,C
X. Arreaga,23,Ecuador,CB,18,50,44,60,56,42,61,39,70,77,66,C
J. Andrada,23,Argentina,CDM,40,66,61,51,51,57,59,56,64,70,70,C
T. Adeyemi,26,England,CM,62,69,68,68,73,72,65,66,62,81,79,C
F. Diarra,26,Mali,ST,70,58,43,75,78,81,74,67,72,71,72,C
Adão Morrinhos,26,Brazil,LS,73,51,54,57,78,67,68,78,75,54,74,C
Kang Min Soo,32,Korea Republic,RCB,33,56,46,66,65,67,66,53,64,76,81,C
K. Tamada,38,Japan,RF,67,65,62,65,60,72,60,68,62,60,59,C
Manu,34,Switzerland,LB,53,67,59,68,64,69,79,59,71,73,61,C
J. Lewis,20,Northern Ireland,LB,50,65,61,74,81,74,74,60,69,85,62,C
M. Chrien,22,Slovakia,CM,55,72,69,64,66,65,64,59,60,54,68,C
T. Roberts,19,Wales,ST,66,64,45,77,84,78,73,64,60,68,71,C
L. Akins,29,England,RB,66,62,56,78,78,75,68,71,71,78,80,C
J. Agudelo,25,United States,RM,66,67,47,77,76,79,48,73,77,68,68,C
J. Walsh,26,Wales,RCB,39,56,60,62,73,67,66,49,77,74,71,C
Edenildo Lagoas,30,Brazil,RB,45,66,65,75,49,56,57,60,59,72,61,C
Lucas Venuto,23,Brazil,RM,65,60,56,90,87,92,92,59,83,74,31,C
J. Villarreal,24,United States,CF,58,63,58,75,69,86,81,70,78,55,53,C
H. Kryeziu,25,Kosovo,LCM,48,73,70,74,74,80,74,63,81,83,62,C
P. Ngawa,26,Belgium,RB,33,57,52,77,82,71,60,56,72,73,72,C
J. Obiang,24,Gabon,LB,52,64,59,80,79,73,92,53,72,63,39,C
B. Blume,26,Denmark,CAM,57,64,56,76,72,78,82,62,59,70,62,C
Lee Yong,31,Korea Republic,RB,54,64,61,80,67,77,68,53,87,71,60,C
C. Wyke,25,England,ST,67,54,30,58,64,76,78,69,85,69,79,C
Camacho,37,Spain,CAM,66,72,71,40,42,42,55,75,43,34,69,C
M. Jakobsen,32,Denmark,LCB,31,66,58,53,56,61,48,75,82,73,89,C
L. Arias,33,Colombia,LM,64,67,64,76,74,76,87,70,76,66,59,C
